City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Gat,IL,77.0,few clouds,31.61,34.76,OlusHome
5,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
12,Vallenar,CL,83.53,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
22,Corn Island,NI,83.35,overcast clouds,12.17,-83.04,Big Fish Guest House
28,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
33,Hilo,US,82.4,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
38,Avarua,CK,75.2,light rain,-21.21,-159.78,Paradise Inn
39,Namatanai,PG,79.2,moderate rain,-3.67,152.43,Namatanai Hotel
46,Kapaa,US,84.0,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
56,Hithadhoo,MV,82.98,scattered clouds,-0.6,73.08,Scoop Guest House
58,Ahuimanu,US,82.0,overcast clouds,21.44,-157.84,Paradise Bay Resort
63,Atuona,PF,78.93,clear sky,-9.8,-139.03,Villa Enata
70,Nouadhibou,MR,75.2,overcast clouds,20.93,-17.03,El Medina
74,Santiago,CL,75.99,few clouds,-33.46,-70.65,Hotel Panamericano
78,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
82,Butaritari,KI,81.09,broken clouds,3.07,172.79,Isles Sunset Lodge
87,Amahai,ID,81.0,broken clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
92,Taquaritinga Do Norte,BR,77.67,scattered clouds,-7.9,-36.04,Pousada Thalyta
93,Bac Lieu,VN,76.73,scattered clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
103,Padang,ID,78.15,heavy intensity rain,-0.95,100.35,Mercure Padang
118,Roura,GF,86.0,clear sky,4.73,-52.33,Amazonie Découverte SARL
126,Rio Grande,BR,75.0,scattered clouds,-32.03,-52.1,Hotel Atlântico Rio Grande
127,Meulaboh,ID,76.24,overcast clouds,4.14,96.13,Kost Pria
132,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
134,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
138,Basco,PH,80.19,light rain,20.45,121.97,Nathaniel's Lodge
142,Isangel,VU,75.85,clear sky,-19.55,169.27,Volcano Sea View Tree House
147,Bandarbeyla,SO,76.24,clear sky,9.49,50.81,REER XOOSHLE GROUP
151,Kununurra,AU,78.8,broken clouds,-15.77,128.73,Hotel Kununurra
157,Himatnagar,IN,77.0,haze,23.6,72.95,Hotel Sunrise Grand
159,Townsville,AU,75.2,few clouds,-19.25,146.8,Rydges Southbank Townsville
161,Male,MV,82.4,overcast clouds,4.17,73.51,Hotel Octave Maldives
164,Nong Chik,TH,76.6,overcast clouds,6.84,101.18,Bakkahland Farm and Resort
167,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
169,Cayenne,GF,86.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
172,Brandfort,ZA,78.8,light rain,-28.7,26.46,SUMFRA GUESTHOUSE
175,Ugoofaaru,MV,81.55,light rain,5.67,73.0,Ungoofaaru Inn
176,Georgetown,MY,77.0,light rain,5.41,100.34,Cititel Penang
177,Bom Jardim,BR,78.73,broken clouds,-7.8,-35.59,Pousada do Posto Jose Breno
180,Arawa,PG,77.29,scattered clouds,-6.21,155.54,Coastline Guest House
183,Luanda,AO,77.0,broken clouds,-8.84,13.23,EPIC SANA Luanda
187,Puerto Escondido,MX,86.0,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
188,Samarai,PG,80.29,light rain,-10.62,150.67,Nuli Sapi
192,Auki,SB,79.36,light rain,-8.77,160.7,Auki Motel
198,Crestview,US,80.6,broken clouds,30.76,-86.57,Holiday Inn Express & Suites Crestview South I-10
211,Seminole,US,86.0,overcast clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
212,Bilma,NE,75.34,clear sky,18.69,12.92,Expeditions Ténére voyages
213,Kuala Terengganu,MY,75.2,light rain,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
214,Kavieng,PG,81.82,light rain,-2.57,150.8,Nusa Island Retreat
215,Poum,NC,76.51,scattered clouds,-20.23,164.02,Gîte kajeon
218,Vila Velha,BR,75.0,light rain,-20.33,-40.29,Hotel Vitória Palace
224,Jega,NG,82.44,clear sky,12.22,4.38,Jega Guest Inn
231,Faanui,PF,80.02,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Kulhudhuffushi,MV,79.54,moderate rain,6.62,73.07,Haajy Guest House 1
236,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
237,Kinango,KE,80.6,few clouds,-4.14,39.32,Moonlit Inn Kinango
247,Ogaminana,NG,77.41,overcast clouds,7.59,6.22,Mashida Guest House
251,Kuching,MY,75.2,scattered clouds,1.55,110.33,Hilton Kuching
255,Kahului,US,87.8,few clouds,20.89,-156.47,Maui Seaside Hotel
259,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
262,Dingle,PH,75.29,heavy intensity rain,11.0,122.67,Camp Pasica
265,Port Blair,IN,79.2,moderate rain,11.67,92.75,Fortune Resort Bay Island
274,Sumbe,AO,75.74,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
277,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
280,Port Said,EG,77.0,clear sky,31.26,32.28,Aracan Hotel
283,Inhambane,MZ,75.2,few clouds,-23.86,35.38,Oceano
292,Pangai,TO,75.2,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
295,Canatlan,MX,81.0,clear sky,24.52,-104.78,AUTOLAVADO El Negro
303,Aswan,EG,76.78,clear sky,24.09,32.91,Nuba Nile
308,San Ignacio,BZ,87.8,scattered clouds,17.16,-89.07,Rainforest Haven Inn
309,Alyangula,AU,80.6,light intensity shower rain,-13.85,136.42,Groote Eylandt Lodge
310,Conakry,GN,80.78,scattered clouds,9.54,-13.68,Riviera Royal Hotel
324,Bosaso,SO,76.75,clear sky,11.28,49.18,Red Sea Hotel
332,Rach Gia,VN,77.0,broken clouds,10.02,105.08,Nhà Hàng Hòa Giang
334,Takoradi,GH,77.94,light rain,4.88,-1.76,Raybow International Hotel
337,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
340,Srandakan,ID,77.7,moderate rain,-7.94,110.25,Puri Brata
342,Ishigaki,JP,76.12,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
344,Ibiruba,BR,88.2,light rain,-28.63,-53.09,Hotel Pitangueira - O melhor serviço pelo menor preço.
345,Vung Tau,VN,78.8,broken clouds,10.35,107.08,Seaside Resort
346,Cascavel,BR,86.14,broken clouds,-24.96,-53.46,Copas Executive Hotel
351,Mount Pleasant,US,79.0,scattered clouds,32.79,-79.86,Best Western Patriots Point
352,Gizo,SB,82.17,overcast clouds,-8.1,156.84,Imagination Island
357,Pemangkat,ID,79.12,overcast clouds,1.17,108.97,Kost H.Syamsuddin
359,Makurdi,NG,78.03,overcast clouds,7.74,8.51,Doo Palace Hotel
364,Inirida,CO,88.25,scattered clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
369,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
370,Mecca,SA,78.21,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
374,Tahta,EG,77.0,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
375,Sabang,ID,81.75,overcast clouds,5.89,95.32,Hotel Citra
386,Cururupu,BR,84.52,scattered clouds,-1.83,-44.87,Pousada Través'cia
387,Los Algarrobos,PA,82.4,scattered clouds,8.5,-82.43,Waterfall Hostel
395,Xuddur,SO,76.05,light rain,4.12,43.89,Banjanay Hotel
398,Guinope,HN,78.8,light rain,13.88,-86.93,Hotel Henry Jordana
407,Prieska,ZA,79.2,few clouds,-29.66,22.75,Avenue GuestHouse
408,Puerto Penasco,MX,79.0,few clouds,31.32,-113.53,Playa Bonita Resort
412,Kupang,ID,79.47,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
415,Noumea,NC,78.01,clear sky,-22.28,166.46,Hôtel Le Lagon
421,Lorengau,PG,81.81,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
426,Carutapera,BR,83.5,moderate rain,-1.2,-46.02,Lidera
433,Media Luna,CU,82.4,heavy intensity rain,20.14,-77.44,Casa particular Pedro y Tamara
443,Ifakara,TZ,79.95,scattered clouds,-8.13,36.68,Tanzanian Training Centre for International Health
450,Fomboni,KM,79.93,clear sky,-12.28,43.74,Auberge les abou
452,Alofi,NU,75.69,light rain,-19.06,-169.92,Taloa Heights
453,Kailua,US,82.99,overcast clouds,21.4,-157.74,Sheffield House Bed & Breakfast
454,Gasa,PS,77.0,few clouds,31.5,34.47,رابطة الفنانين الفلسطينيين
462,Muli,MV,81.93,overcast clouds,2.92,73.57,Medhufushi Island Resort
464,Matadi,CD,79.93,overcast clouds,-5.82,13.45,Hotel Fortune
466,Wukari,NG,78.53,overcast clouds,7.85,9.78,Elimtop
472,Lafiagi,NG,81.45,overcast clouds,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
475,Mitsamiouli,KM,79.09,clear sky,-11.38,43.28,Foyer ADM
478,Paraiso,CR,75.2,broken clouds,9.84,-83.87,Rinconcito Verde
479,Jiwani,PK,76.24,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
481,Cockburn Town,TC,83.48,overcast clouds,21.46,-71.14,Osprey Beach Hotel
486,Ternate,ID,80.46,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
490,Sal Rei,CV,82.4,clear sky,16.18,-22.92,Marine Club Beach Resort
491,Sao Filipe,CV,83.1,overcast clouds,14.9,-24.5,Tortuga B&B
496,Ixtapa,MX,90.0,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
502,Sorong,ID,78.58,overcast clouds,-0.88,131.25,The Waigo Hotel
506,Sapouy,BF,81.39,broken clouds,11.55,-1.77,Auberge St Louis
507,San Patricio,US,84.99,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
508,Axim,GH,78.39,overcast clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
511,Cabedelo,BR,80.6,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
518,Plaeng Yao,TH,84.0,light rain,13.58,101.28,Nongkrok Resort
520,Nha Trang,VN,78.8,broken clouds,12.25,109.18,Hanoi Golden Hotel
521,Brits,ZA,75.2,broken clouds,-25.63,27.78,By Die Vlei
529,Puerto Cabezas,NI,84.2,broken clouds,14.04,-83.39,Hotel Caribe
530,Sinnamary,GF,84.33,few clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
534,Luruaco,CO,87.8,shower rain,10.61,-75.14,Hotel Mi Casa
536,Sola,VU,79.83,moderate rain,-13.88,167.55,Ulkel Guest House
541,Nargana,PA,84.81,broken clouds,9.44,-78.59,Dubbir
545,Waingapu,ID,78.69,overcast clouds,-9.66,120.26,Pondok Wisata Elim
547,Fort Myers Beach,US,86.0,scattered clouds,26.45,-81.95,Lani Kai Island Resort
548,Sharjah,AE,84.2,clear sky,25.36,55.4,Swiss Belhotel Sharjah
549,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
554,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
557,Vilhena,BR,87.49,overcast clouds,-12.74,-60.15,Hotel Mirage
559,Makakilo City,US,82.4,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
561,Porto Novo,BJ,80.6,thunderstorm,6.5,2.6,Tour Eiffel Hotel Benin
565,Russell,US,77.0,overcast clouds,32.35,-85.2,Macs
566,Maceio,BR,82.4,clear sky,-9.67,-35.74,Mercure Maceio Pajucara Hotel
569,Arlit,NE,82.56,clear sky,18.74,7.39,Hôtel Telwa Bungalow
574,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
575,Lamu,KE,78.8,clear sky,-2.27,40.9,Lamu House
585,Eyl,SO,78.37,broken clouds,7.98,49.82,Amiin Hotel
587,Narasapur,IN,76.73,clear sky,16.45,81.67,TCI Xps
589,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
596,Wad Madani,SD,87.48,clear sky,14.4,33.52,فندق يوغسلافيا
597,Kinablangan,PH,78.55,light rain,7.69,126.55,Mainit Balete Hot Spring
598,Acari,PE,76.35,clear sky,-15.43,-74.62,Hospedaje Ximens
601,Nieuw Amsterdam,SR,86.0,scattered clouds,5.88,-55.08,Hotel Stardust
607,Wanning,CN,75.99,overcast clouds,18.8,110.4,Paradise Hotel
609,Coahuayana,MX,84.2,few clouds,18.73,-103.68,Hotel Los Arcos
610,Natal,BR,84.2,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
619,Puri,IN,77.0,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
627,Kabanjahe,ID,77.0,heavy intensity rain,3.1,98.49,Pelindung Bawah Losmen
628,Acapulco,MX,87.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
630,Nata,PA,84.2,few clouds,8.33,-80.52,Cabañas Estancia Bayamon
636,Amuntai,ID,75.92,heavy intensity rain,-2.42,115.25,Hotel Balqis
637,Belmonte,BR,77.0,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
644,San Cristobal,VE,86.0,scattered clouds,7.77,-72.22,Pirineos
647,Yanam,IN,75.36,scattered clouds,16.73,82.22,The Regency Hotel
648,Augusto Correa,BR,84.11,broken clouds,-1.02,-46.63,Fazenda Bacuri
649,Tagusao,PH,79.21,very heavy rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
655,Cotonou,BJ,80.6,thunderstorm,6.37,2.42,Novotel Cotonou Orisha
660,Praia,CV,82.4,clear sky,14.92,-23.51,LT Aparthotel
666,Alugan,PH,79.75,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
669,Kilindoni,TZ,79.68,clear sky,-7.91,39.67,Bustani B&B
671,Balanacan,PH,79.9,heavy intensity rain,13.53,121.87,CSM Lodge
680,Santiago De Cuba,CU,84.2,broken clouds,20.02,-75.82,Cubanacan San Felix
684,Bandiagara,ML,85.26,clear sky,14.35,-3.61,Hotel de la Falaise
