City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.19,168.86,46.99,96,99,1.01,overcast clouds
1,Alta Floresta,BR,-9.88,-56.09,91.65,43,100,2.64,overcast clouds
2,Nizhniy Odes,RU,63.64,54.86,21.52,98,90,0.49,overcast clouds
3,Cidreira,BR,-30.18,-50.21,70.41,84,3,22.32,clear sky
4,Gat,IL,31.61,34.76,77.0,78,20,8.05,few clouds
5,Souillac,MU,-20.52,57.52,75.2,73,75,14.99,shower rain
6,Hobart,AU,-42.88,147.33,44.6,81,75,6.93,broken clouds
7,Busselton,AU,-33.65,115.33,55.0,65,0,0.43,clear sky
8,Tiksi,RU,71.69,128.87,4.69,90,100,30.51,overcast clouds
9,Upernavik,GL,72.79,-56.15,13.87,76,63,4.18,broken clouds
10,Severo-Yeniseyskiy,RU,60.37,93.04,15.51,97,100,3.24,overcast clouds
11,Ibb,YE,13.97,44.18,60.69,47,12,3.58,few clouds
12,Vallenar,CL,-28.57,-70.76,83.53,14,0,9.24,clear sky
13,Caohai,CN,26.87,104.28,53.2,98,100,2.75,overcast clouds
14,Vaini,TO,-21.2,-175.2,71.6,94,90,10.29,light intensity shower rain
15,Orange Cove,US,36.62,-119.31,69.01,52,1,4.7,clear sky
16,Sabratah,LY,32.79,12.49,71.87,66,12,14.12,light rain
17,Broome,US,42.25,-75.83,52.0,51,71,1.99,broken clouds
18,Lagoa,PT,39.05,-27.98,64.09,63,23,6.04,few clouds
19,Luderitz,NA,-26.65,15.16,66.2,50,71,24.94,broken clouds
20,Ushuaia,AR,-54.8,-68.3,51.8,50,40,3.36,scattered clouds
21,Brae,GB,60.4,-1.35,50.0,81,40,17.22,scattered clouds
22,Corn Island,NI,12.17,-83.04,83.35,74,96,6.26,overcast clouds
23,Geraldton,AU,-28.77,114.6,62.6,88,0,6.93,clear sky
24,Aranos,NA,-24.13,19.12,75.16,37,83,11.41,broken clouds
25,Vila,PT,42.03,-8.16,45.0,94,100,3.0,overcast clouds
26,Hermanus,ZA,-34.42,19.23,61.0,79,98,13.62,overcast clouds
27,Nikolskoye,RU,59.7,30.79,42.8,93,90,4.47,overcast clouds
28,Denpasar,ID,-8.65,115.22,78.8,94,20,2.24,few clouds
29,Punta Arenas,CL,-53.15,-70.92,44.6,81,40,8.05,scattered clouds
30,Thompson,CA,55.74,-97.86,26.6,53,90,13.87,light snow
31,Moyale,KE,3.52,39.06,71.35,65,5,6.35,clear sky
32,Shache,CN,38.42,77.24,45.36,47,100,6.4,overcast clouds
