City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2020-10-24 19:05:12,-0.74,-90.35,78.8,69,40,17.22
1,Port Lincoln,AU,2020-10-24 19:05:13,-34.73,135.87,52.79,71,91,14.5
2,Groton,US,2020-10-24 19:05:13,41.35,-72.08,64.99,88,90,6.93
3,Fairbanks,US,2020-10-24 19:05:13,64.84,-147.72,25.0,85,75,3.04
4,Mataura,NZ,2020-10-24 19:05:13,-46.19,168.86,66.0,58,100,14.0
5,Wilmington,US,2020-10-24 19:05:13,34.23,-77.94,82.4,45,1,5.77
6,Souillac,MU,2020-10-24 19:05:14,-20.52,57.52,75.2,73,40,13.87
7,Carnarvon,AU,2020-10-24 19:05:14,-24.87,113.63,69.8,94,0,17.22
8,Kodiak,US,2020-10-24 19:05:14,57.79,-152.41,42.8,93,40,3.36
9,Kabinda,CD,2020-10-24 19:05:15,-6.13,24.48,70.74,88,100,2.98
10,Concarneau,FR,2020-10-24 19:05:15,47.88,-3.92,55.4,100,100,17.22
11,Leningradskiy,RU,2020-10-24 19:05:15,69.38,178.42,21.61,94,61,5.93
12,Caravelas,BR,2020-10-24 19:05:15,-17.71,-39.25,78.62,77,20,9.89
13,Kjollefjord,NO,2020-10-24 19:05:16,70.95,27.35,36.97,90,100,20.24
14,Busselton,AU,2020-10-24 19:05:16,-33.65,115.33,57.0,52,100,11.03
15,Dalvik,IS,2020-10-24 19:05:16,65.97,-18.53,41.0,75,90,21.92
16,Chokurdakh,RU,2020-10-24 19:05:16,70.63,147.92,16.11,98,100,7.47
17,Mahebourg,MU,2020-10-24 19:05:17,-20.41,57.7,75.2,73,40,13.87
18,Thompson,CA,2020-10-24 19:03:05,55.74,-97.86,23.0,62,90,12.75
19,Ushuaia,AR,2020-10-24 19:05:17,-54.8,-68.3,50.0,62,40,16.11
20,Albany,US,2020-10-24 19:05:03,42.6,-73.97,59.0,66,34,5.01
21,Elko,US,2020-10-24 19:05:17,41.0,-115.5,61.0,23,20,18.01
22,Shahpura,IN,2020-10-24 19:05:18,27.38,75.97,75.2,29,0,4.59
23,Snyder,US,2020-10-24 19:05:18,32.72,-100.92,55.4,47,1,9.17
